Interne Zeilen ID;Interne Firmen ID;Dienste nach Alphabet und Jahr;Name;Sitz;Rechtsform;Reg.-gericht;HR-Nr. (neueste);IK-Nr.;GF;Jahr;Anlagenintensität (Quote);Umlaufintensität (Quote);Forderungsintensität (Quote);Vorratsintensität (Quote);Eigenkapitalquote;Fremdkapitalquote;Verschuldungsgrad (Quote);Anlagendeckungsgrad 1 (Quote);Anlagendeckungsgrad 2 (Quote);Liquidität Grad 1 (Quote);Liquidität Grad 2 (Quote);Liquidität Grad 3 (Quote);Eigenkapitalrentabilität (Quote);Gesamtkapitalrentabilität (Quote);Personalaufwandsquote;Personalaufwand je MA;Materialaufwandsquote;Materialaufwand je MA;Anlagevermögen (Einzelwert);Umlaufvermögen (Einzelwert);Gesamtvermögen (Einzelwert);Forderungen (Wertesumme);Kurzfristige Forderungen (Wertedifferenz);Bestand Vorräte (Wertesumme);Eigenkapital (Einzelwert);Gesamtkapital (Einzelwert);Fremdkapital (Wertesumme);Langfristiges Fremdkapital (Wertesumme);Liquide Mittel (Wertesumme);Kurzfristige Verbindlichkeiten (Wertedifferenz);Langfristige Verbindlichkeiten (Wertesumme);Jahresüberschuss (Wertesumme);Bilanzgewinn (Wertesumme);Fremdkapitalzinsen;Personalaufwand;Materialaufwand;Gesamtleistung;Mitarbeiter;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035;1036;1037;1038;1039;1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050;1051;1052;1053;1054;1055;1056;1057;1058;1059;1060;1061;1062;1063;1064;1065;1066;1067;1068;1069;1070;1071;1072;1073;1074;1075;1076;1077;1078;1079;1080;1081;1082;1083;1084;1085;1086;1087;1088;1089;1090;1091;1092;1093;1094;1095;1096;1097;1098;1099;1100;1101;1102;1103;1104;1105;1106;1107;1108;1109;1110;1111;1112;1113;1114;1115;1116;1117;1118;1119;1120;1121;1122;1123;1124;1125;1126;1127;1128;1129;1130;1131;1132;1133;1134;1135;1136;1137;1138;1139;1140;1141;1142;1143;1144;1145;1146;1147;1148;1149;1150;1151;1152;1153;1154;1155;1156;1157;1158;1159;1160;1161;1162;1163;1164;1165;1166;1167;1168;1169;1170;1171;1172;1173;1174;1175;1176;1177;1178;1179;1180;1181;1182;1183;1184;1185;1186;1187;1188;1189;1190;1191;1192;1193;1194;1195;1196;1197;1198;1199;1200;1201;1202;1203;1204;1205;1206;1207;1208;1209;1210;1211;1212;1213;1214;1215;1216;1217;1218;1219;1220;1221;1222;1223;1224;1225;1226;1227;1228;1229;1230;1231;1232;1233;1234;1235;1236
66;26;152;Pflegedienst am See GmbH;Potsdam;GmbH;Potsdam;16741;461207158;Petra Krehan;2019;0,079554123;0,900236355;0,851047136;0;0,467833591;0,532166409;1,137512184;5,880695736;6,80601615;0,107270436;;0,900236355;0;0,33935471;;;;;15480;175172,05;194584,51;165600,59;165600,59;0;91033,17;194584,51;103551,34;14323,96;9571,46;89227,38;0;0;66033,17;;;;0;;15480;;;;8188;;;;;7292;;;;;;;;;;;;;;;;;;;;91033,17;;;;66033,17;;;;;;;;;;;;;;0;;;;25000;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3932,46;;;14323,96;;;;;;;;;194584,51;194584,51;175172,05;;165600,59;;;;;;;;;;;;;;;9571,46;;;;;;;;;;89227,38;;;;69,46;;89227,38;;;;;;;;;;;;;;;;;;;;;;;
67;27;158;Pflegedienst Herbstzeit GmbH;Potsdam;GmbH;Potsdam;26740;463204375;Andreas Alert, Michael Köder-Höller;2019;0,490615685;0,488973776;0,469706458;0;0,161593546;0,838406454;5,188365951;0,329368895;0,516899123;0,025813622;;0,442345638;0,941778618;0;0,743616242;35449,28889;0,066313393;3161,257778;162683;162138,56;331589,48;155749,72;140288,32;0;53582,72;331589,48;278006,76;30507,98;6388,84;247498,78;0;50463,06;0;;1276174,4;113805,28;1716173,38;36;162683;;;;133225;2485;;130740;;29458;;5177;24281;;;;;;;;;;;;;;;;;53582,72;;;;;;;;;;;12500;;;;;15851,19;;;;25000;;;;;;;;;25231,53;;;;;;;12500;;;;;;;;;;71350,89;;;;;;;71350,89;;;;;;;;;;;;;;;;;;788368,02;;;;;;;;;;25231,53;113805,28;;;;;;1772,29;112032,99;173480,82;1276174,4;1069563,18;;206611,22;14966,6;;;20768,27;89573,33;;;218,91;;;;27514,88;;838013,12;7847,31;;;;;;;;;;;;;;;;;;36;;;;;;;;;6767,92;;;30507,98;30507,98;;;;;;;;331589,48;331589,48;162138,56;;155749,72;;;107795,81;;;;;;47953,91;15461,4;;;;;;;6388,84;;;;;;;;247498,78;;;;;;;;;;69231,51;14242,96;;19231,51;;;8191,46;8191,46;;;170075,81;19456,02;;;;;;;;
68;28;164;Pflegedienst Marcel Krönert GmbH;Potsdam;GmbH;Potsdam;34492;461212111;Marcel Krönert;2019;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;30;176;Pflegedienst Qualitas GmbH;Potsdam;GmbH;Potsdam;16397;461206965;Brigitte Naumann, Friederike Fritz, Alexander Fritz;2019;0,252960344;0,721486549;0,305454516;0;0,688731985;0,301766015;0,438147235;2,722687575;3,082200879;1,973367382;;0,721486549;0,462837199;0;;;;;93549;266817,89;369816,86;112962,23;112962,23;0;254704,7;369816,86;111598,16;33632,11;153855,66;77966,05;0;117886,81;0;;;;0;35;93549;;;;1;;;;;93548;;;;;;;;;;;;;;;;;;;;254704,7;;;;;;;;;;;;;;;;111317,89;;;;25500;;;;;;;;;117886,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;9449,97;;3514;33632,11;;;;;;;;;369816,86;369816,86;266817,89;;112962,23;;;;;;;;;;;;;;;153855,66;;;;;;;;;;77966,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;31;182;Pflegedienst Träger GmbH;Treuenbrietzen;GmbH;Potsdam;36099;461202153;Andreas Träger;2019;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;32;188;Pflegeteam Potsdam Antje Schneider GmbH;Potsdam;GmbH;Potsdam;27727;463204319;Antje Schneider;2019;0,139247714;0,847887985;0,761887118;0;0,721850719;0,278149281;0,385327983;5,183932282;5,452432064;0,357203866;;0,847887985;0;0,656086704;;;;;55052;335215,05;395352,99;301214,35;301214,35;0;285385,84;395352,99;109967,15;14781,45;34000,7;95185,7;0;0;259385,84;;;;0;24;55052;;;;110;;;;;54942;;;;;;;;;;;;;;;;;;;;285385,84;;;;259385,84;;;;;;;;;;;;;;;;26000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;5085,94;;;14781,45;;;;;;;;;395352,99;395352,99;335215,05;;301214,35;;;;;;;;;;;;;;;34000,7;;;;;;;;;;95185,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;33;194;"PSL ""Ihr Pflegedienst für Stadt und Land"" GmbH";Beetzsee;GmbH;Potsdam;28439;463202373;Eva Rettig;2019;0,808523002;0,179113837;0,145183967;0;0,313653912;0,686180594;2,187699778;0,387934433;0,428554865;0,0519331;;0,179113837;0;0,114490785;;;;;2396933,66;530997,86;2964583,14;430409,94;430409,94;0;929853,1;2964583,14;2034239,42;97364,48;100587,92;1936874,94;0;0;339417,45;;;;0;62;2396933,66;;;;2586;;;;;2394347,66;;;;;;;;;;;;;;;;;;;;929853,1;;;;339417,45;;;;;;;13500;;;;;576935,65;;;;26000;;;;;;;;;;;;;;;;-12500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;;;;;;;;;36651,62;;490,62;97364,48;;;;;;;;;2964583,14;2964583,14;530997,86;;430409,94;;;;;;;;;;;;;;;100587,92;;;;;;;;;;1936874,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;34;200;PTS Pflegeteam Sanitas GmbH;Kleinmachnow;GmbH;Potsdam;28074;461210222;Angela Heyroth;2019;0,021255658;0,970115781;0,794452846;0;0,404554186;0,595445814;1,471856762;19,03277645;38,90234597;1,014776541;3,074234709;0,970115781;0;0,310610679;;;;;5656,5;258164,67;266117,38;211417,71;211417,71;0;107658,9;266117,38;158458,48;112392,22;46746,96;46066,26;83976,89;0;82658,9;;;;0;23;5656,5;;;;930;;;;;4726,5;;;;;;;;;;;;;;;;;;;;107658,9;;;;;;;;82658,9;;;;;;;;;;;;25000;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;0;;;2296,21;;;28415,33;;;;;;;;;266117,38;266117,38;258164,67;;211417,71;;;;;;;;;;;;;;;46746,96;;;;;;;;;;130043,15;;;;;;46066,26;83976,89;;;;;;;;;;;;;;;;;;;;;;
74;35;206;SAB Service für Assistenz und Pflege im ambulanten Bereich GmbH;Düsseldorf;GmbH;Düsseldorf;79412;461213441;Jacek Sabiniarz;2019;0,123227231;0,874293113;0,773255739;0;0,311306852;0,688693148;2,212264667;2,526282948;5,964395479;0,381238491;10,31915318;0,864796226;0,663516499;0,154917925;0,879303728;24740,23534;;;556449;3947987,19;4515633,41;3491739,45;3448854,99;0;1405747,62;4515633,41;3109885,79;1913134,28;456247,74;1196751,51;378432,48;932736,74;699552,56;;15858490,85;;18035282,18;641;556449;;;;;;;;;556449;70734;;;;;;485715;;;;;349776,28;116592,09;;116592,09;;;466368,37;0;1405747,62;;;;349776,28;;;;;;;;;;1017751,34;;;;;;52000;;;-13780;38220;;;;;;;;;;;;;;;;;;;;;;60758,73;;;;;;60758,73;;;;;;;;;;;;466368,37;;;;;;;;;;;;;;;;;466368,37;;;;;;;;;;15858490,85;13228118,88;;2630371,97;;34253,46;18034653,08;1518332,82;;;;629,1;;;90009,46;;;;41321,95;2600;;;;;;;;;250;339;;;;;;;641;;;;52;;;;;11197,22;;;1534701,8;;;;;;;;;4515633,41;4515633,41;3947987,19;;3491739,45;;42884,46;;;;;;;;;;;;;456247,74;;;;;;;;;;1575183,99;;;;;;;;;;623990,63;138460,06;0;623990,63;;;;;;;951193,36;572760,88;378432,48;;;;;;;
75;36;212;St. Josef Sozialstation Potsdam GmbH;Potsdam;GmbH;Potsdam;20800;501205394;Andreas Barthold, Oliver Pommerenke;2019;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;37;218;VERITAS Pflegedienst Brandenburg GmbH;Potsdam;GmbH;Potsdam;28439;461208650;Dmitri Davidoff;2019;0,160292516;0,839707484;0,683233994;0;0,399012658;0,600987342;1,506186157;2,489278145;5,088604083;0,848854639;2,109020631;0,832082774;0,08688761;0;;;;;123238;645593,9;768831,9;525292,09;519429,97;0;306773,66;768831,9;462058,24;320335,73;120301,81;141722,51;303331,21;26654,83;0;;;;0;;123238;60000;;;1;;;;;63237;;;;;;;;;;;;;;;;;;;;306773,66;;;;;;;;;;;;;;;;308428,49;;;;25000;;;;;;;26654,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17004,52;;;;;;;;;768831,9;768831,9;645593,9;;525292,09;;5862,12;;;;;;;;;;;;;120301,81;;;;;;;;;;445053,72;;;;168236,41;;141722,51;303331,21;;;;;;;;;;;;;;;;;;;;;;
77;38;224;Wallow & Schneider GmbH Häusliche Krankenpflege, Betreutes Wohnen;Potsdam;GmbH;Potsdam;18015;461209003;Carlo Wallow, Antje Schneider;2019;0,488479119;0,502837437;0,388134761;0;0,533898411;0,466101685;0,873015682;1,09298103;1,27230713;0,303041674;;0,502837437;0,061105667;0;;;;;152567,25;157051,8;312331,16;121226,58;121226,58;0;166753,11;312331,16;145578,08;27359,29;35825,22;118218,79;0;10189,56;0;;;;0;23;152567,25;2800;;;493,25;;;;;149274;;;;;;;;;;;;;;;;;;;;166753,11;;;;;;;;;;;;;;;;;;131463,55;;25100;;;;;;;;;10189,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;2712,11;;;27359,29;;;;;;;;;312331,16;312331,16;157051,8;;121226,58;;;;;;;;;;;;;;;35825,22;;;;;;;;;;118218,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;39;230;Wildgrube & Müller GmbH;Treuenbrietzen;GmbH;Potsdam;28741;463201511;Yvonne Wildgrube, Stephan Müller;2019;0,289838078;0,696569123;0,407249456;0;0,655448206;0,344551794;0,525673563;2,261428905;2,604313874;1,180074529;;0,696569123;0,237862355;0;;;;;150115,65;360773,6;517929,36;210926,45;210926,45;0;339475,87;517929,36;178453,49;51472,4;149847,15;126981,09;0;80748,53;0;;;;0;;150115,65;;;;3;;;;;150112,65;;;;;;;;;;;;;;;;;;;;339475,87;;;;;;;;;339475,87;;;;;;;;;233727,34;;;;;;;;25000;;;80748,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7040,11;;;51472,4;;;;;;;;;517929,36;517929,36;360773,6;;210926,45;;;;;;;;;;;;;;;;;149847,15;;;;;;;;126981,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;1;3;Advoco Pflegedienst GmbH;Potsdam;GmbH;Potsdam;22822;463201668;Yuliya Kyryan;2020;0,199286905;0,794953367;0,725822382;0;0,480251891;0,519748109;1,082240632;2,409851715;4,103575176;0,3794003;6,262173841;0,794953367;0;0,564734275;;;;;113228;451665,3;568165,78;412387,44;412387,44;0;272862,69;568165,78;295303,09;191776,92;39277,86;103526,17;72125,96;0;320862,69;;;;0;;113228;;;;6;;;;;113222;;;;;;;;;;;;;;;;;;;;272862,69;;;;320862,69;;210742,04;;;;9000;18000;;;-66000;;;;;;27000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3272,48;;;119650,96;;;;;;;;;568165,78;568165,78;451665,3;;412387,44;94974,19;;;;;;;;;;;;;;39277,86;;;;;;;;;;175652,13;;;;;;103526,17;72125,96;;;;;;;;;;;;;;;;;;;;;;
80;2;9;Ambulante Pflege Lehmann UG (haftungsbeschränkt);Potsdam;UG (haftungsbeschänkt);Potsdam;31142;461212177;Nicole Lehmann;2020;0,313797387;0,166324395;0,08715912;0;0;1;;0;0,160501507;0,083363894;;0,149747372;;0;0,826028961;;0,094584719;;37826;20049,2;120542,75;10506,4;8508,16;0;0;120542,75;120542,75;6071,13;9542,8;114471,62;0;7840,54;0;;272692,72;31224,77;330124,89;;37826;;;;17081;17081;;;;20745;;536;20209;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;2500;;;;;;;;;3920,27;;;;;;;;62401,18;68821,45;;;;;;;;9046,12;;;;;;;9046,12;;;;;;;;;;;;;;;;;;195128,45;;3301,58;;;;;;;;3920,27;31224,77;;;;;42,53;1395,21;29787,03;9768,96;272692,72;217729,73;;54962,99;3120;;;2621,83;7669,5;;;0;;;;5300,59;;124025,36;2837,19;;;;7287,56;;;;;;;;;;;;;;;;;;;;62401,18;;;266,37;;;6071,13;6071,13;;;;;;;;120542,75;120542,75;20049,2;;10506,4;;;8362,62;;;;;;2143,78;1998,24;;;;;;;9542,8;;;;;;;;114471,62;;;;;;;;;;25274,4;;;1184,88;;;23232,22;23232,22;;;65965;;;;;;;;;
81;3;15;Ambulanter Pflegedienst im Oberlinhaus gemeinnützige GmbH i. L.;Potsdam;gGmbH i. L.;Potsdam;15698;461217456;Thomas Neubauer;2020;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;4;21;Atemzug Intensivpflege Burkart GmbH;Stahnsdorf;GmbH;Potsdam;29193;461210665;Martina Burkart;2020;0,160116631;0,839883369;0,464304984;0;0,717582727;0,282417273;0,393567546;4,481625197;5,015475907;1,907080789;;0,839883369;0,305450421;0;;;;;88137;462318;550455;255579;255579;0;394997;550455;155458;47052;206739;108406;0;120652;0;;;;0;65;88137;0;;;1;;;;;88136;;;;;;;;;;;;;;;;;;;;394997;;;;;;;;;;;;;;24500;;;;224845;;25000;;;;;;;;;;120652;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65;;;;;;;;;0;;0;47052;;;;;;;;;550455;550455;462318;;255579;;;;;;;;;;;;;;;206739;;;;;0;;;0;;108406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;5;27;Backschies Häusliche Krankenpflege und Seniorenbetreuung GmbH;Potsdam;GmbH;Potsdam;32889;461200663;Lydia Backschies, Heike Jezewski;2020;0,167983432;0,811349909;0,49478056;0;0,442094649;0,557905351;1,261959067;2,631775305;3,517555867;0,773802173;;0,804372068;0,613212571;0;;;;;57055;275572,23;339646,59;168050,53;165680,53;0;150155,94;339646,59;189490,65;50538,21;107521,7;138952,44;0;92077,51;0;;;;0;39;57055;;;;1282;;;;;55773;;;;;;;;;;;;;;;;;;;;150155,94;;;;;;;;;;;;;;;;8078,43;;;;25000;;;;;;;;;92077,51;;;;25000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;;;7019,36;;;50538,21;;;;;;;;;339646,59;339646,59;275572,23;;168050,53;;2370;;;;;;;;;;;;;107521,7;;;;;;;;;;138952,44;;;;80559,79;;138952,44;;;;;;;;;;;;;;;;;;;;;;;
84;6;33;Care Vita GmbH;Werder (Havel);GmbH;Potsdam;30922;461212031;Stephanie Gräber;2020;0,049353742;0,553284922;0,411233496;0;0;1;;0;2,068594923;0,158202809;;0,553284922;;0;;;;;12526;140423,94;253800,41;104371,23;104371,23;0;0;253800,41;253800,41;25911,22;36052,71;227889,19;0;98305,33;0;;;;0;;12526;;;;1844;;;;;10682;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;25000;;;;;;;;;98305,33;;;;;;;;98119,35;221424,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98119,35;;;2731,12;;;25911,22;;;;;;;;;253800,41;253800,41;140423,94;;104371,23;;;;;;;;;;;;;;;36052,71;;;;;;;;;;227889,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;7;39;carebrandenburg24 Pflegedienst GmbH;Kleinmachnow;GmbH;Potsdam;33650;461214102;Emrah Türker;2020;0,241001639;0,453063543;0,39404429;0,00449849;0;1;;0;0,175886319;0,056934137;;0,453063543;;0;0,866221692;;0,377621661;;130506;245340,7;541514,99;213380,89;213380,89;2436;0;541514,99;541514,99;22954,22;29523,81;518560,77;0;-388953,66;0;;314668,82;137177,08;363265,92;;130506;;;;6930;6930;;;;123576;;118535;5041;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;30000;;;;;;;;;-194476,83;;;;;;;;164476,83;0;;;;;;;;33788,91;;;;;;;33788,91;;;0;;;;;;;;;;;;;;;37866,82;;;;0;11840,75;;;;;-194476,83;137177,08;;;30;;;4195,54;132951,54;36335,44;314668,82;258097,53;;56571,29;0;;;26827,32;19192,12;;;0;;;;4358,92;;294366,23;4586,26;;;;;;;;;;;;;;;;;;;;;;;;164476,83;;;1191,46;;;22954,22;22954,22;;;;;;;;541514,99;541514,99;245340,7;;213380,89;;;159228,52;;;;;;54152,37;0;;;;;;;29523,81;;;2436;2436;;;;518560,77;;;;;;;;;;193918,34;11334,69;1266,18;193918,34;;;99246,6;99246,6;;;225395,83;75639,21;;;;;;0;;
86;8;45;COMCURA GmbH;Beelitz (vormals: Coswig);GmbH;Dresden;28687;463202965;Dr. Matthias-Hagen Lakotta;2020;0,022841124;0,976138797;0,403236142;0,072420217;0,683347823;0,316652177;0,463383605;29,91743351;41,90289944;11,66879829;;0,976138797;0,088719087;0;;;;;26581;1135966,2;1163734,3;469259,73;469259,73;84277,89;795235,3;1163734,3;368499;318585,67;582428,58;49913,33;0;70552,55;0;;;;0;61,5;26581;;;;0;;;;;26581;;;;;;;;;;;;;;;;;;;;795235,3;;;;;;;;;;;;;;;;;699682,75;;;25000;;;;;;;;70552,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61,5;;;;;;;;;1187,1;;;318585,67;;;;;;;;;1163734,3;1163734,3;1135966,2;;469259,73;;;;;;;;;;;;;;;;582428,58;;;;84277,89;;;;;49913,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;9;51;Comfort Homecare GmbH Brandenburg;Erkner;GmbH;Frankfurt (Oder);16386;461211553;Thomas Wierzoch;2020;0,366982006;0,632736027;0,607249818;0;0,685273461;0,314726539;0,459271453;1,867321693;2,186254653;0,128924062;;0,632736027;0;0,666385526;;;;;485736;837487,02;1323596,23;803753,57;803753,57;0;907025,37;1323596,23;416570,86;154917,22;33733,45;261653,64;0;0;882025,37;;;;0;30;485736;;;;1;;;;;485735;;;;;;;;;;;;;;;;;;;;907025,37;;;;882025,37;;;;;;;;;;;;;;;;25000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;373,21;;;154917,22;;;;;;;;;1323596,23;1323596,23;837487,02;;803753,57;;;;;;;;;;;;;;;33733,45;;;;;;;;;;261653,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;10;57;ConVIDA V&P Ambulanter Pflegedienst GmbH;Teltow;GmbH;Potsdam;27507;463202681;Juan Manuel Velez Rodrigues, Malgorzata Pierowska;2020;0,050754715;0,945518288;0,655987739;0;0,666523822;0,333476178;0,50032147;13,13225416;14,17687024;1,03235278;;0,945518288;0;0,63467601;;;;;20877;388921,21;411331,24;269828,25;269828,25;0;274162,07;411331,24;137169,17;21808,45;119092,96;115360,72;0;0;261062,07;;;;0;14;20877;;;;1385;;;;;19492;;;;;;;;;;;;;;;;;;;;274162,07;;;;261062,07;;;;;;;13100;;;;;;;;;25600;;;;;;;;;;;;;;;;-12500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;1533,03;;;21808,45;;;;;;;;;411331,24;411331,24;388921,21;;269828,25;;;;;;;;;;;;;;;119092,96;;;;;;;;;;115360,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;11;63;Ernst von Bergmann Care gemeinnützige GmbH;Potsdam;gGmbH;Potsdam;28465;461211848;René Schulz, Hans-Ulrich Schmidt;2020;0,280749802;0,67634121;0,378971846;0;0;0,935543009;;0;2,114965532;0,870094216;2,705157259;0,67634121;;0;;;;;524400,39;1263308,44;1867856,67;707865,09;707865,09;0;0;1867856,67;1747460,25;1109088,75;555443,35;638371,5;467000;1961,27;0;;;;0;131;524400,39;;;;305782;;;;;218618,39;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;-66144,53;25000;;;;;;;;;;;1961,27;;;;39183,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131;;;;;;39183,26;;;40964,58;;119748,42;642088,75;;;648;;;;;;1867856,67;1867856,67;1263308,44;;707865,09;;;;;;;;;;;;;;;;555443,35;;;;;;;;;1105371,5;;;;;;638371,5;467000;;;;;;;;;;;;;;;;;;;;;;
